Timestamp,Type of Exercise,Who are you?,Time,Distance (in miles),What kind of Calisthenics?,How many?,How many stairs?,Stairmaster time?,Elliptical time?,Weights Time,General Cardio Time:,Comments:,Steps,Walking Distance (in miles),How Long?
3/24/2015 20:10:48,Weights,Laxmi,,,,,,,,0:20:00,,,,,
3/25/2015 0:21:56,Run,Vivek,0:16:30,2.1,,,,,,,,,,,
3/25/2015 0:22:11,Weights,Vivek,,,,,,,,0:35:00,,,,,
3/25/2015 0:42:23,Yoga,Vivek,,,,,,,,,,,,,0:14:00
3/25/2015 1:10:49,Weights,Anand,,,,,,,,0:50:00,,,,,
3/25/2015 2:49:16,Bike,AP,0:17:32,5.2,,,,,,,,,,,
3/25/2015 19:59:05,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
3/25/2015 19:59:29,Bike,Laxmi,0:22:00,6.73,,,,,,,,,,,
3/25/2015 19:59:43,Weights,Laxmi,,,,,,,,0:20:00,,,,,
3/25/2015 20:21:53,Bike,AP,0:24:35,5.3,,,,,,,,,,,
3/25/2015 20:48:55,Run,Vivek,0:27:39,3.5,,,,,,,,,,,
3/26/2015 4:19:22,Bike,AP,0:18:00,4.9,,,,,,,,,,,
3/26/2015 13:02:07,Bike,AP,0:24:44,5,,,,,,,,,,,
3/26/2015 19:57:23,Bike,AP,1:25:33,17.5,,,,,,,,,,,
3/26/2015 20:00:54,Elliptical,Anusha,,,,,,,2:00:00,,,,,,
3/26/2015 20:01:10,Yoga,Anusha,,,,,,,,,,,,,0:48:00
3/27/2015 0:24:08,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/27/2015 19:46:19,Bike,Laxmi,0:22:00,6.49,,,,,,,,,,,
3/27/2015 19:46:37,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
3/27/2015 20:21:22,Weights,Laxmi,,,,,,,,0:20:00,,,,,
3/28/2015 9:46:12,Weights,Anand,,,,,,,,0:48:00,,,,,
3/28/2015 13:18:18,Bike,AP,0:24:19,5.1,,,,,,,,,,,
3/28/2015 21:05:44,Bike,AP,0:21:32,5.5,,,,,,,,,,,
3/29/2015 13:01:00,Bike,Laxmi,0:44:00,13.04,,,,,,,,,,,
3/29/2015 13:01:18,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
3/29/2015 13:23:55,Bike,Laxmi,0:22:00,6.61,,,,,,,,,,,
3/29/2015 19:06:46,Other Cardio,Vivek,,,,,,,,,1:10:00,skiing in tahoe,,,
3/29/2015 19:15:23,Other Cardio,Vivek,,,,,,,,,0:45:00,bball shootaround / running,,,
3/30/2015 20:10:52,Bike,Laxmi,0:22:00,6.56,,,,,,,,,,,
3/30/2015 20:11:09,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
3/30/2015 20:11:26,Weights,Laxmi,,,,,,,,0:30:00,,,,,
3/30/2015 21:01:12,Other Cardio,Vivek,,,,,,,,,1:00:00,bball shooting drills,,,
3/31/2015 0:14:50,Yoga,Vivek,,,,,,,,,,,,,0:15:00
3/31/2015 1:12:15,Weights,Anand,,,,,,,,0:49:00,,,,,
3/31/2015 7:49:08,Yoga,Vivek,,,,,,,,,,,,,0:12:00
3/31/2015 19:26:55,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
3/31/2015 19:27:27,Bike,Laxmi,0:44:00,13.36,,,,,,,,,,,
3/31/2015 20:05:35,Weights,Laxmi,,,,,,,,0:30:00,,,,,
3/31/2015 20:23:10,Stairmaster,Laxmi,,,,,38,0:10:00,,,,,,,
